text,label
Right Now I'm Truly Swamped By Grief,sad
Right Now I'm Extremely Heavy-hearted This Morning,sad
Right Now I'm Absolutely Full Of Sorrow Somehow,sad
Lately I Feel Absolutely Full Of Sorrow Inside,sad
Right Now I'm Blue Inside Right Now,sad
I'm So Blue Inside Somehow,sad
Lately I Feel Heavy-hearted Tonight,sad
Lately I Feel Absolutely Blue Inside Lately,sad
Right Now I'm Deeply Blue Inside,sad
Right Now I'm Extremely Heavy-hearted Lately,sad
I'm Extremely Heavy-hearted Tonight,sad
Right Now I'm Extremely Blue Inside Tonight,sad
Right Now I'm Really Feeling Down,sad
Lately I Feel Deeply Blue Inside Tonight,sad
Right Now I'm Heavy-hearted Lately,sad
Right Now I'm Blue Inside Tonight,sad
Lately I Feel Deeply Swamped By Grief Right Now,sad
I Really Full Of Sorrow Right Now,sad
Lately I Feel Swamped By Grief Right Now,sad
I Absolutely Blue Inside Right Now,sad
I Deeply Blue Inside This Morning,sad
I'm Quite Blue Inside Today,sad
Today I Am Absolutely Full Of Sorrow Right Now,sad
Today I Am Really Full Of Sorrow,sad
Right Now I'm Heavy-hearted Right Now,sad
Lately I Feel Deeply Heavy-hearted,sad
Lately I Feel Truly Heavy-hearted Tonight,sad
Right Now I'm Feeling Down Somehow,sad
Right Now I'm Incredibly Heavy-hearted Lately,sad
Lately I Feel Blue Inside Lately,sad
Today I Am Absolutely Feeling Down Somehow,sad
Right Now I'm Extremely Full Of Sorrow,sad
I So Swamped By Grief,sad
I Extremely Blue Inside,sad
Right Now I'm Blue Inside Lately,sad
I'm Extremely Full Of Sorrow Somehow,sad
Lately I Feel Feeling Down,sad
I'm Incredibly Blue Inside Tonight,sad
I Incredibly Feeling Down,sad
I'm So Swamped By Grief,sad
Today I Am Quite Full Of Sorrow This Morning,sad
Right Now I'm Absolutely Swamped By Grief Tonight,sad
I'm Incredibly Blue Inside Today,sad
Today I Am Full Of Sorrow This Morning,sad
Lately I Feel Absolutely Blue Inside Today,sad
I'm Absolutely Heavy-hearted Somehow,sad
I'm Absolutely Swamped By Grief Right Now,sad
I Absolutely Swamped By Grief Right Now,sad
I So Feeling Down Right Now,sad
I'm Absolutely Blue Inside,sad
I Incredibly Heavy-hearted Right Now,sad
Right Now I'm Feeling Down Lately,sad
Lately I Feel Really Full Of Sorrow Lately,sad
I'm Extremely Swamped By Grief,sad
Today I Am So Swamped By Grief Right Now,sad
Today I Am Extremely Feeling Down Inside,sad
I'm So Full Of Sorrow Tonight,sad
I'm Absolutely Full Of Sorrow,sad
Lately I Feel Incredibly Blue Inside Somehow,sad
Right Now I'm Deeply Feeling Down This Morning,sad
Lately I Feel Extremely Feeling Down Tonight,sad
Lately I Feel Blue Inside Today,sad
Today I Am So Feeling Down This Morning,sad
I'm Incredibly Swamped By Grief Inside,sad
Today I Am Deeply Feeling Down This Morning,sad
Today I Am Really Full Of Sorrow Lately,sad
I'm Feeling Down Tonight,sad
I Truly Full Of Sorrow,sad
I Quite Feeling Down Today,sad
I Absolutely Blue Inside,sad
I'm Absolutely Full Of Sorrow Somehow,sad
Right Now I'm Really Blue Inside Inside,sad
I Really Full Of Sorrow Today,sad
Today I Am Really Swamped By Grief Inside,sad
I'm Heavy-hearted This Morning,sad
I Truly Blue Inside,sad
Lately I Feel Feeling Down This Morning,sad
Lately I Feel Quite Heavy-hearted Lately,sad
Right Now I'm Truly Feeling Down,sad
Lately I Feel So Heavy-hearted Tonight,sad
Lately I Feel Really Heavy-hearted,sad
Lately I Feel Extremely Feeling Down Right Now,sad
I Deeply Feeling Down,sad
I'm Quite Blue Inside Right Now,sad
Right Now I'm Deeply Blue Inside Somehow,sad
I Really Swamped By Grief Somehow,sad
Right Now I'm Absolutely Heavy-hearted Today,sad
Today I Am Extremely Swamped By Grief,sad
Right Now I'm Truly Heavy-hearted,sad
I'm So Blue Inside Today,sad
I Absolutely Swamped By Grief Lately,sad
Today I Am Heavy-hearted Lately,sad
Today I Am Feeling Down Today,sad
I'm Heavy-hearted Right Now,sad
Today I Am Full Of Sorrow Tonight,sad
I'm Incredibly Heavy-hearted Today,sad
I'm Truly Full Of Sorrow,sad
Lately I Feel Quite Swamped By Grief,sad
I Heavy-hearted This Morning,sad
Lately I Feel Deeply Heavy-hearted Inside,sad
Today I Am Absolutely Blue Inside Lately,sad
Lately I Feel Deeply Feeling Down Inside,sad
I So Swamped By Grief Today,sad
Right Now I'm Quite Feeling Down Right Now,sad
Right Now I'm Deeply Full Of Sorrow,sad
Today I Am Feeling Down This Morning,sad
I Absolutely Feeling Down Tonight,sad
I Blue Inside Inside,sad
I Heavy-hearted Right Now,sad
I Truly Heavy-hearted Somehow,sad
Lately I Feel So Blue Inside,sad
I'm Really Feeling Down Somehow,sad
Right Now I'm Deeply Swamped By Grief,sad
Right Now I'm Extremely Feeling Down Somehow,sad
I Deeply Feeling Down Today,sad
I So Full Of Sorrow Today,sad
Today I Am Absolutely Full Of Sorrow Today,sad
Today I Am So Full Of Sorrow Today,sad
Right Now I'm Blue Inside,sad
I So Full Of Sorrow Inside,sad
Right Now I'm Incredibly Feeling Down Today,sad
Right Now I'm Extremely Swamped By Grief Lately,sad
Lately I Feel Quite Full Of Sorrow Somehow,sad
I'm Really Swamped By Grief,sad
I'm Incredibly Swamped By Grief This Morning,sad
Lately I Feel So Heavy-hearted Right Now,sad
I Extremely Blue Inside Inside,sad
Lately I Feel Absolutely Full Of Sorrow,sad
Today I Am Incredibly Feeling Down Lately,sad
Right Now I'm Really Heavy-hearted Tonight,sad
I Really Full Of Sorrow,sad
I Full Of Sorrow This Morning,sad
Right Now I'm Deeply Heavy-hearted Somehow,sad
Lately I Feel Feeling Down Inside,sad
Right Now I'm Deeply Feeling Down,sad
Today I Am Blue Inside Today,sad
Lately I Feel Feeling Down Today,sad
I Incredibly Feeling Down Lately,sad
Today I Am Truly Swamped By Grief,sad
I Really Full Of Sorrow Somehow,sad
I'm Truly Blue Inside,sad
I'm So Swamped By Grief This Morning,sad
Lately I Feel Absolutely Swamped By Grief Somehow,sad
I'm Swamped By Grief,sad
I Quite Swamped By Grief,sad
I Extremely Blue Inside This Morning,sad
Right Now I'm Swamped By Grief Right Now,sad
Right Now I'm Absolutely Feeling Down Somehow,sad
Lately I Feel Deeply Swamped By Grief,sad
Right Now I'm Quite Blue Inside Lately,sad
I'm Absolutely Swamped By Grief Today,sad
Right Now I'm Feeling Down,sad
Today I Am Really Blue Inside This Morning,sad
I Extremely Heavy-hearted Tonight,sad
Lately I Feel Quite Full Of Sorrow Today,sad
Today I Am Truly Heavy-hearted,sad
I'm Extremely Heavy-hearted Lately,sad
I So Feeling Down Inside,sad
Right Now I'm Really Blue Inside Today,sad
Today I Am Quite Full Of Sorrow Tonight,sad
Right Now I'm Truly Full Of Sorrow Inside,sad
Lately I Feel So Heavy-hearted This Morning,sad
Right Now I'm So Blue Inside Somehow,sad
Today I Am Deeply Full Of Sorrow Tonight,sad
Today I Am Really Swamped By Grief Tonight,sad
Right Now I'm Absolutely Blue Inside,sad
Right Now I'm So Feeling Down This Morning,sad
Today I Am Full Of Sorrow Right Now,sad
Lately I Feel Heavy-hearted Today,sad
Lately I Feel Full Of Sorrow Tonight,sad
I'm So Heavy-hearted Right Now,sad
Lately I Feel Absolutely Feeling Down,sad
Right Now I'm Feeling Down Inside,sad
Lately I Feel Absolutely Heavy-hearted This Morning,sad
Today I Am Quite Feeling Down,sad
Lately I Feel Deeply Heavy-hearted This Morning,sad
Lately I Feel Full Of Sorrow Today,sad
Right Now I'm So Full Of Sorrow Right Now,sad
I Incredibly Full Of Sorrow,sad
I Feeling Down Right Now,sad
Right Now I'm So Feeling Down Right Now,sad
Right Now I'm Absolutely Blue Inside Somehow,sad
Right Now I'm Really Swamped By Grief This Morning,sad
I'm Blue Inside Inside,sad
Right Now I'm Extremely Full Of Sorrow Somehow,sad
I Absolutely Feeling Down Lately,sad
I Absolutely Swamped By Grief This Morning,sad
Lately I Feel So Swamped By Grief Tonight,sad
Lately I Feel So Heavy-hearted Somehow,sad
I Blue Inside This Morning,sad
I'm Absolutely Swamped By Grief,sad
Today I Am Heavy-hearted,sad
Today I Am Deeply Full Of Sorrow Inside,sad
Today I Am Deeply Full Of Sorrow Right Now,sad
I'm Truly Blue Inside Inside,sad
I'm Feeling Down Lately,sad
Right Now I'm Extremely Feeling Down This Morning,sad
Today I Am Incredibly Heavy-hearted,sad
Today I Am Extremely Full Of Sorrow Somehow,sad
Today I Am Full Of Sorrow Today,sad
Lately I Feel Extremely Blue Inside,sad
I Truly Swamped By Grief Lately,sad
I Absolutely Swamped By Grief,sad
Right Now I'm Heavy-hearted Inside,sad
Today I Am Quite Swamped By Grief Tonight,sad
I'm Feeling Down This Morning,sad
Right Now I'm Absolutely Swamped By Grief,sad
Right Now I'm Deeply Feeling Down Tonight,sad
Lately I Feel Really Blue Inside,sad
Right Now I'm Full Of Sorrow Today,sad
I'm Truly Feeling Down Inside,sad
Lately I Feel So Full Of Sorrow Today,sad
Lately I Feel Extremely Swamped By Grief,sad
Today I Am Swamped By Grief Tonight,sad
Right Now I'm Deeply Feeling Down Lately,sad
Right Now I'm Really Feeling Down Tonight,sad
Today I Am Really Feeling Down Right Now,sad
Today I Am Swamped By Grief Lately,sad
Right Now I'm Really Blue Inside Lately,sad
I'm Really Feeling Down Lately,sad
Right Now I'm Extremely Full Of Sorrow Right Now,sad
Lately I Feel Extremely Feeling Down,sad
Lately I Feel Incredibly Heavy-hearted,sad
Lately I Feel Quite Feeling Down Lately,sad
Today I Am Truly Blue Inside Tonight,sad
I'm Deeply Feeling Down Today,sad
Today I Am Blue Inside This Morning,sad
I Really Feeling Down Lately,sad
Today I Am Blue Inside Somehow,sad
I'm Deeply Swamped By Grief,sad
Lately I Feel Quite Feeling Down Somehow,sad
Lately I Feel Full Of Sorrow Inside,sad
I Incredibly Heavy-hearted This Morning,sad
I Extremely Heavy-hearted This Morning,sad
I Extremely Swamped By Grief This Morning,sad
Right Now I'm Deeply Feeling Down Inside,sad
Right Now I'm Really Heavy-hearted Today,sad
Right Now I'm Incredibly Feeling Down Inside,sad
Right Now I'm Really Full Of Sorrow,sad
Lately I Feel Swamped By Grief This Morning,sad
I'm Deeply Heavy-hearted Somehow,sad
Right Now I'm Heavy-hearted Tonight,sad
I Deeply Heavy-hearted Right Now,sad
Right Now I'm Blue Inside This Morning,sad
Today I Am Absolutely Feeling Down Tonight,sad
I Really Blue Inside,sad
Right Now I'm Swamped By Grief Somehow,sad
Lately I Feel Truly Heavy-hearted,sad
Right Now I'm Absolutely Heavy-hearted,sad
I'm So Swamped By Grief Right Now,sad
Right Now I'm So Full Of Sorrow,sad
I Blue Inside Somehow,sad
Lately I Feel Absolutely Feeling Down Somehow,sad
I'm Deeply Feeling Down Somehow,sad
Right Now I'm Extremely Blue Inside,sad
Lately I Feel Blue Inside Inside,sad
Lately I Feel Truly Feeling Down,sad
I'm Deeply Swamped By Grief Today,sad
I Full Of Sorrow Lately,sad
Today I Am Incredibly Full Of Sorrow Inside,sad
Right Now I'm Quite Swamped By Grief This Morning,sad
Right Now I'm Full Of Sorrow Tonight,sad
Lately I Feel So Blue Inside Today,sad
I Extremely Full Of Sorrow Tonight,sad
I Really Swamped By Grief Lately,sad
I Quite Full Of Sorrow,sad
I Swamped By Grief,sad
Today I Am Blue Inside Right Now,sad
I'm Quite Swamped By Grief Today,sad
I'm Quite Swamped By Grief,sad
Today I Am Truly Full Of Sorrow Today,sad
I Swamped By Grief Inside,sad
Today I Am Truly Feeling Down,sad
Lately I Feel Deeply Blue Inside This Morning,sad
Lately I Feel Really Blue Inside This Morning,sad
Lately I Feel Blue Inside Tonight,sad
Right Now I'm Blue Inside Today,sad
I'm Full Of Sorrow,sad
I'm Absolutely Full Of Sorrow Right Now,sad
Today I Am Incredibly Swamped By Grief,sad
I Deeply Swamped By Grief Lately,sad
Right Now I'm Full Of Sorrow This Morning,sad
I Quite Feeling Down,sad
I Feeling Down Today,sad
Today I Am So Blue Inside Somehow,sad
I Absolutely Feeling Down,sad
I Deeply Swamped By Grief,sad
I Extremely Heavy-hearted Today,sad
Right Now I'm Truly Full Of Sorrow Tonight,sad
Lately I Feel Heavy-hearted This Morning,sad
I'm Deeply Blue Inside,sad
Lately I Feel Really Swamped By Grief Somehow,sad
I Incredibly Blue Inside Somehow,sad
I Blue Inside Tonight,sad
I Extremely Feeling Down Tonight,sad
Today I Am Extremely Blue Inside,sad
Right Now I'm Truly Full Of Sorrow Somehow,sad
Today I Am Extremely Blue Inside Tonight,sad
I'm Swamped By Grief Tonight,sad
Today I Am Incredibly Full Of Sorrow,sad
Today I Am Really Heavy-hearted,sad
Lately I Feel Incredibly Full Of Sorrow Today,sad
I Deeply Full Of Sorrow This Morning,sad
Right Now I'm Incredibly Full Of Sorrow Inside,sad
Lately I Feel Really Feeling Down Today,sad
Today I Am Truly Heavy-hearted Somehow,sad
Today I Am Absolutely Blue Inside,sad
Today I Am Deeply Feeling Down,sad
Lately I Feel Really Swamped By Grief Right Now,sad
I Extremely Blue Inside Somehow,sad
Today I Am Absolutely Heavy-hearted Somehow,sad
I Extremely Swamped By Grief Somehow,sad
Today I Am So Full Of Sorrow Inside,sad
Today I Am Heavy-hearted Right Now,sad
Lately I Feel Swamped By Grief,sad
I Really Full Of Sorrow This Morning,sad
Right Now I'm Incredibly Heavy-hearted This Morning,sad
Lately I Feel Full Of Sorrow Somehow,sad
I'm So Blue Inside,sad
Lately I Feel Heavy-hearted Inside,sad
Right Now I'm Really Full Of Sorrow Tonight,sad
I'm Truly Feeling Down Tonight,sad
Today I Am Extremely Blue Inside Today,sad
Today I Am Quite Heavy-hearted Tonight,sad
Right Now I'm Deeply Feeling Down Right Now,sad
Lately I Feel Really Heavy-hearted Inside,sad
Lately I Feel Blue Inside,sad
I Full Of Sorrow,sad
I Truly Blue Inside Lately,sad
I Truly Full Of Sorrow Tonight,sad
Today I Am Feeling Down Lately,sad
Today I Am Feeling Down Somehow,sad
Today I Am Really Blue Inside Inside,sad
I'm Feeling Down Somehow,sad
I Feeling Down This Morning,sad
Right Now I'm Incredibly Feeling Down,sad
Today I Am Swamped By Grief,sad
Lately I Feel So Swamped By Grief,sad
Right Now I'm Truly Full Of Sorrow Right Now,sad
Lately I Feel Full Of Sorrow This Morning,sad
Right Now I'm Deeply Swamped By Grief Tonight,sad
I'm So Full Of Sorrow,sad
Lately I Feel Full Of Sorrow Right Now,sad
Right Now I'm Truly Feeling Down Today,sad
Lately I Feel Absolutely Full Of Sorrow Today,sad
Lately I Feel So Blue Inside Lately,sad
Today I Am Extremely Heavy-hearted Somehow,sad
Lately I Feel Heavy-hearted Somehow,sad
Right Now I'm Quite Full Of Sorrow,sad
I Absolutely Heavy-hearted Lately,sad
I'm Full Of Sorrow Today,sad
I Incredibly Heavy-hearted Lately,sad
I'm Incredibly Swamped By Grief Today,sad
Lately I Feel Really Full Of Sorrow Inside,sad
Lately I Feel Quite Heavy-hearted,sad
Right Now I'm Extremely Full Of Sorrow Lately,sad
Lately I Feel Incredibly Heavy-hearted This Morning,sad
I Quite Blue Inside This Morning,sad
Today I Am Absolutely Full Of Sorrow Inside,sad
Today I Am Incredibly Blue Inside Today,sad
I'm Incredibly Heavy-hearted Right Now,sad
Lately I Feel Swamped By Grief Tonight,sad
I'm Truly Heavy-hearted Today,sad
I'm Truly Blue Inside This Morning,sad
Today I Am Deeply Feeling Down Tonight,sad
Lately I Feel Incredibly Swamped By Grief,sad
I'm Absolutely Full Of Sorrow Inside,sad
I'm Blue Inside Somehow,sad
I Swamped By Grief Lately,sad
I'm Deeply Feeling Down,sad
I Full Of Sorrow Today,sad
Right Now I'm Swamped By Grief,sad
I'm Really Feeling Down Inside,sad
I'm Feeling Down Inside,sad
I Incredibly Blue Inside,sad
Today I Am Incredibly Blue Inside Inside,sad
Today I Am Extremely Feeling Down,sad
I Truly Full Of Sorrow This Morning,sad
Right Now I'm Incredibly Blue Inside,sad
I Extremely Full Of Sorrow Right Now,sad
Today I Am Absolutely Full Of Sorrow Lately,sad
I'm Incredibly Full Of Sorrow,sad
I'm Incredibly Swamped By Grief Tonight,sad
Today I Am Really Full Of Sorrow Tonight,sad
I Quite Full Of Sorrow Inside,sad
Lately I Feel Quite Blue Inside Lately,sad
Today I Am Deeply Heavy-hearted,sad
Right Now I'm Really Blue Inside Right Now,sad
Right Now I'm Swamped By Grief Today,sad
Right Now I'm Incredibly Blue Inside Inside,sad
Lately I Feel Incredibly Blue Inside,sad
Lately I Feel Blue Inside Somehow,sad
I'm Incredibly Swamped By Grief Right Now,sad
I Can't Relax Inside,anxious
I Absolutely Nervous All Day,anxious
Today I Am Truly On Edge This Morning,anxious
Right Now I'm Deeply Worried About Everything Lately,anxious
I'm Really Restless Tonight,anxious
Lately I Feel Absolutely Restless,anxious
I Incredibly Worried About Everything Right Now,anxious
I Extremely Nervous All Day Today,anxious
Today I Am Truly Can't Relax Lately,anxious
I'm So Restless This Morning,anxious
I'm Incredibly Restless This Morning,anxious
I'm Really Restless Somehow,anxious
I Deeply On Edge Inside,anxious
I Nervous All Day This Morning,anxious
Today I Am Deeply Can't Relax This Morning,anxious
Lately I Feel So Nervous All Day Somehow,anxious
Right Now I'm Quite Worried About Everything Lately,anxious
I'm So On Edge Today,anxious
I'm Incredibly Can't Relax Right Now,anxious
Lately I Feel Absolutely Restless Inside,anxious
I'm Quite Restless Tonight,anxious
Today I Am Really Restless This Morning,anxious
Today I Am Nervous All Day Tonight,anxious
Today I Am Extremely Worried About Everything Today,anxious
I Quite Worried About Everything Lately,anxious
Today I Am Really Worried About Everything,anxious
Right Now I'm On Edge Tonight,anxious
Today I Am Truly Can't Relax Today,anxious
Lately I Feel Truly On Edge,anxious
I'm Extremely Can't Relax Today,anxious
Right Now I'm So Worried About Everything Lately,anxious
Lately I Feel Extremely Restless Today,anxious
I'm Absolutely Nervous All Day Today,anxious
Right Now I'm Restless,anxious
I'm On Edge Lately,anxious
I Can't Relax Right Now,anxious
I Nervous All Day Lately,anxious
I'm Quite Nervous All Day,anxious
I'm Truly On Edge Today,anxious
Today I Am Deeply Nervous All Day This Morning,anxious
Lately I Feel Deeply On Edge Lately,anxious
I Can't Relax This Morning,anxious
Lately I Feel Truly Nervous All Day Right Now,anxious
Lately I Feel Nervous All Day Lately,anxious
Right Now I'm Extremely Nervous All Day Somehow,anxious
I Truly On Edge This Morning,anxious
I Extremely Worried About Everything This Morning,anxious
I Really Restless Today,anxious
I Deeply Worried About Everything Today,anxious
I'm So Worried About Everything,anxious
Right Now I'm Truly Nervous All Day,anxious
Today I Am Quite On Edge Somehow,anxious
I Absolutely Worried About Everything Lately,anxious
Today I Am Extremely Nervous All Day This Morning,anxious
Today I Am On Edge Somehow,anxious
I'm So Nervous All Day,anxious
Lately I Feel Can't Relax This Morning,anxious
I'm Absolutely Worried About Everything Right Now,anxious
Lately I Feel Deeply Restless,anxious
Today I Am Restless Somehow,anxious
Lately I Feel Quite On Edge,anxious
Right Now I'm Extremely On Edge,anxious
Right Now I'm Truly Can't Relax,anxious
Right Now I'm So Worried About Everything,anxious
