text,label
What's the meaning of life?,other
How do I get to the airport?,other
Can you help me write a resume?,other
What's the best phone to buy?,other
How do I learn programming?,other
Can you solve this riddle?,other
What's a good movie to watch?,other
How do I start a business?,other
Can you help me plan a vacation?,other
What's the stock market doing?,other
How do I bake a cake?,other
Can you recommend a book?,other
What's the fastest way to learn a language?,other
How do I get rid of ants?,other
Can you help me with my taxes?,other
What's the best exercise routine?,other
How do I grow tomatoes?,other
Can you write me a poem?,other
What's the history of Egypt?,other
How do I change a tire?,other
Can you help me find a job?,other
What's the best way to invest money?,other
Hello beautiful day,greeting
"Hi, good to see you",greeting
Hey what's happening,greeting
Good morning sunshine,greeting
Hello world,greeting
Hi there how are things,greeting
Hey good looking,greeting
Greetings and salutations,greeting
Hola amigo,greeting
Hey stranger,greeting
"Hi, long time no see",greeting
Hello gorgeous,greeting
What's good?,greeting
Hey you,greeting
Hi sweetie,greeting
I just finished reading a book,small_talk
My cat is being weird today,small_talk
I love rainy days,small_talk
Coffee or tea?,small_talk
I'm thinking about getting a haircut,small_talk
Do you believe in aliens?,small_talk
I can't decide what to wear,small_talk
My favorite number is 7,small_talk
I'm craving ice cream,small_talk
Do you ever get lonely?,small_talk
I saw a really good sunset today,small_talk
What do you think about tattoos?,small_talk
I'm addicted to TikTok,small_talk
My back hurts from sitting too much,small_talk
I love the smell of fresh bread,small_talk
Do you think robots will take over?,small_talk
I can't whistle,small_talk
My neighbor's dog barks all night,small_talk
I'm trying to drink more water,small_talk
What's your favorite emoji?,small_talk
I hate doing laundry,small_talk
Do you dream?,small_talk
I found a dollar on the street,small_talk
My phone battery dies too fast,small_talk
I love bubble wrap,small_talk
What is schizophrenia?,definition_request
Can you explain what therapy involves?,definition_request
What's the difference between anxiety and fear?,definition_request
Define emotional abuse,definition_request
What is meditation exactly?,definition_request
Explain what borderline personality disorder is,definition_request
What does it mean to have low self-esteem?,definition_request
Can you tell me about ADHD?,definition_request
What is seasonal depression?,definition_request
Define what a mental health professional is,definition_request
What's the meaning of psychological trauma?,definition_request
Explain what self-harm is,definition_request
What is body dysmorphia?,definition_request
Can you define what anxiety disorders are?,definition_request
What does it mean to be suicidal?,definition_request
Explain what narcissistic personality disorder is,definition_request
What is emotional numbness?,definition_request
Define what gaslighting means,definition_request
What's a therapeutic relationship?,definition_request
Can you explain what codependency is?,definition_request
What is chronic stress?,definition_request
Define what psychotherapy is,definition_request
What does it mean to have intrusive thoughts?,definition_request
Explain what emotional validation is,definition_request
What is agoraphobia?,definition_request
How can I reduce my anxiety?,coping_advice
What should I do when I'm having a panic attack?,coping_advice
I need help dealing with my ex,coping_advice
How do I cope with work pressure?,coping_advice
What can I do about my insomnia?,coping_advice
I need strategies for managing my temper,coping_advice
How do I deal with toxic people?,coping_advice
What helps with feeling overwhelmed at school?,coping_advice
I need advice on handling family drama,coping_advice
How can I stop being so hard on myself?,coping_advice
What should I do when I feel like giving up?,coping_advice
I need help with my eating habits and emotions,coping_advice
How do I deal with constant worry?,coping_advice
What can I do about feeling isolated?,coping_advice
I need strategies for managing grief,coping_advice
How do I cope with financial stress?,coping_advice
What helps when you feel like you're not good enough?,coping_advice
I need advice for dealing with bullies,coping_advice
How can I manage my mood swings?,coping_advice
What should I do when everything feels hopeless?,coping_advice
I need help processing my trauma,coping_advice
How do I deal with comparison and jealousy?,coping_advice
What can I do about chronic pain affecting my mood?,coping_advice
I need strategies for handling breakups,coping_advice
How do I cope with aging parents?,coping_advice
What helps with post-graduation depression?,coping_advice
I need advice on managing caregiving stress,coping_advice
How can I deal with seasonal mood changes?,coping_advice
What should I do about workplace harassment?,coping_advice
I need help with body image issues,coping_advice
I'm so tired of fighting,self_harm
I just want the pain to end,self_harm
Maybe everyone would be happier without me,self_harm
I'm thinking about taking all my pills,self_harm
I can't see any way out of this,self_harm
I want to stop breathing,self_harm
I'm planning my funeral in my head,self_harm
I feel like I'm drowning and can't surface,self_harm
I want to cut deeper this time,self_harm
I'm researching ways to die,self_harm
I can't bear another day like this,self_harm
I'm writing goodbye letters,self_harm
I want to drive into oncoming traffic,self_harm
I feel dead inside already,self_harm
I'm going to hurt myself badly tonight,self_harm
I wish I had never been born,self_harm
I want to take a bunch of sleeping pills,self_harm
I'm standing on a bridge thinking about jumping,self_harm
I have a plan to end everything,self_harm
I'm buying rope today,self_harm
I want to bleed out slowly,self_harm
I'm done pretending I'm okay,self_harm
I have nothing left to give,self_harm
I want to overdose on my medication,self_harm
I can't stop thinking about hanging myself,self_harm
I'm going to crash my car on purpose,self_harm
I want to suffocate myself,self_harm
I'm planning to die this weekend,self_harm
I can't live with this pain anymore,self_harm
I want to slice my wrists,self_harm
How do I change my password?,other
Can you recommend a good dentist?,other
What's the best way to clean windows?,other
How do I reset my router?,other
Can you help me understand calculus?,other
What's a good gift for my mom?,other
How do I get rid of fruit flies?,other
Can you explain quantum physics?,other
What's the best way to save money?,other
How do I unclog a drain?,other
Can you help me write a cover letter?,other
What's the difference between iOS and Android?,other
How do I grow herbs indoors?,other
Can you recommend a good podcast?,other
What's the best way to learn guitar?,other
How do I remove a stain from carpet?,other
Can you help me plan a budget?,other
What's the fastest way to get abs?,other
How do I backup my photos?,other
Can you explain cryptocurrency?,other
What's a good first date idea?,other
How do I get better at public speaking?,other
Can you recommend a streaming service?,other
What's the best way to organize my closet?,other
How do I learn to code?,other
Can you help me understand wine?,other
What's the best exercise for back pain?,other
How do I get my driver's license?,other
Can you recommend a good laptop?,other
What's the secret to good photography?,other
Good to see you again,greeting
Hey there partner,greeting
Well hello there,greeting
"Hi, hope you're well",greeting
Bonjour,greeting
Hey bud,greeting
Good day mate,greeting
Hello my dear friend,greeting
"Hi, thanks for being here",greeting
"Hey, glad you're online",greeting
Salutations,greeting
"Hi, ready to chat?",greeting
"Hey there, how's your day?",greeting
"Hello, nice weather today",greeting
"Hi friend, what's up?",greeting
I wonder what my dog is thinking,small_talk
Do you ever feel confused?,small_talk
I found a really cool rock today,small_talk
My favorite color changes depending on my mood,small_talk
I think penguins are underrated,small_talk
Do you prefer sunrise or sunset?,small_talk
I can't sleep when it's too quiet,small_talk
My grandmother makes the best cookies,small_talk
I wish I could fly,small_talk
Do you think fish get thirsty?,small_talk
I love the sound of rain on windows,small_talk
My left shoe always gets untied first,small_talk
"I talk to my plants, is that weird?",small_talk
Do you ever wonder about parallel universes?,small_talk
I collect bottle caps for no reason,small_talk
My favorite word is serendipity,small_talk
I always eat pizza with a fork,small_talk
Do you think colors look the same to everyone?,small_talk
I can't snap my fingers properly,small_talk
"My car has a personality, I swear",small_talk
I love watching clouds move,small_talk
Do you prefer stairs or elevators?,small_talk
I always check my phone when I'm bored,small_talk
My ideal superpower would be teleportation,small_talk
I think butterflies are just fancy moths,small_talk
What does dissociation feel like?,definition_request
Can you explain what a trigger warning is?,definition_request
What's the difference between sadness and grief?,definition_request
Define what emotional dysregulation means,definition_request
What is complex PTSD?,definition_request
Explain what attachment styles are,definition_request
What does it mean to be emotionally available?,definition_request
Can you tell me about impulse control?,definition_request
What is toxic positivity?,definition_request
Define what psychological safety means,definition_request
What's the difference between guilt and shame?,definition_request
Explain what rumination is,definition_request
What is rejection sensitivity?,definition_request
Can you define what executive function is?,definition_request
What does it mean to be triggered?,definition_request
Explain what emotional labor is,definition_request
What is learned helplessness?,definition_request
Define what self-sabotage means,definition_request
What's the difference between empathy and sympathy?,definition_request
Can you explain what healthy boundaries look like?,definition_request
What is anticipatory grief?,definition_request
Define what emotional contagion is,definition_request
What does it mean to compartmentalize?,definition_request
Explain what cognitive dissonance is,definition_request
What is emotional maturity?,definition_request
How do I stop procrastinating so much?,coping_advice
What can I do when my mind races at night?,coping_advice
I need help dealing with my inner critic,coping_advice
How do I cope with feeling like an outsider?,coping_advice
What should I do when I'm triggered by memories?,coping_advice
I need strategies for managing holiday stress,coping_advice
How can I deal with imposter syndrome?,coping_advice
What helps when you feel emotionally numb?,coping_advice
I need advice on handling rejection sensitivity,coping_advice
How do I cope with chronic illness and depression?,coping_advice
What can I do about feeling stuck in life?,coping_advice
I need help managing my people-pleasing tendencies,coping_advice
How do I deal with Sunday scaries?,coping_advice
What should I do when I feel invisible?,coping_advice
I need strategies for coping with change,coping_advice
How can I manage my fear of abandonment?,coping_advice
What helps when you feel like you don't belong?,coping_advice
I need advice on dealing with toxic family members,coping_advice
How do I cope with feeling behind in life?,coping_advice
What can I do about my fear of failure?,coping_advice
I need help with setting emotional boundaries,coping_advice
How do I deal with feeling misunderstood?,coping_advice
What should I do when I feel like I'm drowning?,coping_advice
I need strategies for managing decision fatigue,coping_advice
How can I cope with feeling emotionally exhausted?,coping_advice
What helps when you feel like giving up on relationships?,coping_advice
I need advice on handling comparison with others,coping_advice
How do I deal with feeling like I'm not enough?,coping_advice
What can I do about my fear of being judged?,coping_advice
I need help coping with empty nest syndrome,coping_advice
I'm going to end it tonight,self_harm
I bought a gun to kill myself,self_harm
I can't stop thinking about dying by suicide,self_harm
I want to slit my throat,self_harm
I'm going to take every pill in my medicine cabinet,self_harm
I've been cutting myself and want to go deeper,self_harm
I want to jump in front of a train,self_harm
I'm writing my suicide note right now,self_harm
I can't live another day feeling this empty,self_harm
I want to burn myself alive,self_harm
I'm going to drive my car off a cliff,self_harm
I have the rope ready to hang myself,self_harm
I want to drown myself in the bathtub,self_harm
I'm planning to overdose this weekend,self_harm
I can't take the emotional pain anymore,self_harm
I want to stab myself in the chest,self_harm
I'm going to jump from the highest building,self_harm
I have nothing to live for anymore,self_harm
I want to poison myself with bleach,self_harm
I'm ready to die by my own hand,self_harm
I can't see any reason to keep breathing,self_harm
I want to shoot myself in the head,self_harm
I'm going to step in front of a bus,self_harm
I have my suicide planned for tomorrow,self_harm
I want to electrocute myself,self_harm
I'm going to suffocate myself with a plastic bag,self_harm
I can't handle being alive for one more second,self_harm
I want to set myself on fire,self_harm
I'm going to overdose on my antidepressants,self_harm
I just want everything to stop forever,self_harm
Can you help me fix my printer?,other
What's the best way to learn Spanish?,other
How do I get better at chess?,other
Can you recommend a good horror movie?,other
What's the fastest way to lose 10 pounds?,other
How do I start a garden?,other
Can you help me understand the stock market?,other
What's a good recipe for banana bread?,other
How do I get better WiFi signal?,other
Can you recommend a good video game?,other
What's the best way to clean leather shoes?,other
How do I learn to play piano?,other
Can you help me write a birthday card?,other
What's the difference between LED and LCD?,other
How do I get rid of mice in my house?,other
Can you recommend a good workout app?,other
What's the best way to fold fitted sheets?,other
How do I improve my credit score?,other
Can you help me plan a dinner party?,other
What's a good first car to buy?,other
How do I get better at parallel parking?,other
Can you recommend a good skincare routine?,other
What's the best way to study for exams?,other
How do I grow my social media following?,other
Can you help me understand insurance?,other
What's a good way to meet new people?,other
How do I get better at negotiations?,other
Can you recommend a good morning routine?,other
What's the best way to organize my desk?,other
How do I learn to meditate properly?,other
Hey gorgeous,greeting
What's crackin'?,greeting
Howdy partner,greeting
Top of the morning to you,greeting
Hey sunshine,greeting
"Well well well, hello there",greeting
Good to see your face,greeting
Hey champ,greeting
Greetings earthling,greeting
Hey rockstar,greeting
Hello beautiful soul,greeting
What's the word?,greeting
Hey legend,greeting
Good day sunshine,greeting
Hey superstar,greeting
I just ate the best sandwich ever,small_talk
Do you ever wonder why we yawn?,small_talk
My socks never match anymore,small_talk
I think I'm allergic to Mondays,small_talk
Do you prefer hot or cold showers?,small_talk
I found an old photo of myself today,small_talk
My favorite pen just ran out of ink,small_talk
I wonder what my life would be like if I was taller,small_talk
Do you think aliens have pets?,small_talk
I can't remember the last time I used a payphone,small_talk
My phone screen is cracked but I'm too lazy to fix it,small_talk
I always forget to water my plants,small_talk
Do you think robots get tired?,small_talk
I love the smell of old books,small_talk
My car makes a weird noise but still runs,small_talk
I wonder if animals have favorite foods,small_talk
I always lose one sock in the laundry,small_talk
Do you think fish recognize their owners?,small_talk
I can't fold a fitted sheet to save my life,small_talk
My favorite mug has a chip in it but I still use it,small_talk
I wonder what my cat dreams about,small_talk
Do you prefer digital or physical books?,small_talk
I always check behind the shower curtain,small_talk
My favorite season keeps changing,small_talk
I think my house plant is judging me,small_talk
What is emotional blackmail?,definition_request
Can you explain what defense mechanisms are?,definition_request
What's the difference between therapy and counseling?,definition_request
Define what projection means in psychology,definition_request
What is abandonment anxiety?,definition_request
Explain what cognitive restructuring is,definition_request
What does it mean to have poor emotional regulation?,definition_request
Can you tell me about attachment trauma?,definition_request
What is psychological abuse?,definition_request
Define what emotional flashbacks are,definition_request
What's the difference between bipolar 1 and 2?,definition_request
Explain what hypervigilance means,definition_request
What is catastrophic thinking?,definition_request
Can you define what emotional unavailability is?,definition_request
What does it mean to be codependent?,definition_request
Explain what toxic shame is,definition_request
What is emotional neglect?,definition_request
Define what people pleasing really means,definition_request
What's the difference between sympathy and empathy?,definition_request
Can you explain what inner child work is?,definition_request
What is psychological manipulation?,definition_request
Define what emotional boundaries are,definition_request
What does it mean to be highly sensitive?,definition_request
Explain what gaslighting looks like,definition_request
What is relationship anxiety?,definition_request
How can I stop being such a perfectionist?,coping_advice
What should I do when my anxiety keeps me awake?,coping_advice
I need help dealing with my mother's criticism,coping_advice
How do I cope with feeling different from everyone?,coping_advice
What can I do when I feel like I'm falling apart?,coping_advice
I need strategies for managing my anger at work,coping_advice
How do I deal with feeling like I don't matter?,coping_advice
What helps when you can't stop crying?,coping_advice
I need advice on handling my fear of commitment,coping_advice
How can I manage my social battery better?,coping_advice
What should I do when I feel paralyzed by choices?,coping_advice
I need help coping with my friend's betrayal,coping_advice
How do I deal with feeling like I'm behind everyone else?,coping_advice
What can I do about my fear of being alone?,coping_advice
I need strategies for managing my overthinking,coping_advice
How do I cope with feeling disconnected from myself?,coping_advice
What helps when you feel like you're suffocating?,coping_advice
I need advice on dealing with my controlling parents,coping_advice
How can I manage my fear of disappointing others?,coping_advice
What should I do when I feel emotionally drained?,coping_advice
I need help with my tendency to self-isolate,coping_advice
How do I deal with feeling like I'm not living up to potential?,coping_advice
What can I do about my constant need for validation?,coping_advice
I need strategies for coping with my sensitivity,coping_advice
How do I handle feeling overwhelmed by other people's emotions?,coping_advice
What helps when you feel like you're losing yourself?,coping_advice
I need advice on managing my fear of rejection,coping_advice
How can I cope with feeling like I'm always the problem?,coping_advice
What should I do when I feel like I can't trust anyone?,coping_advice
I need help dealing with my tendency to catastrophize,coping_advice
I'm going to kill myself with my dad's gun,self_harm
I want to die in my sleep and never wake up,self_harm
I'm thinking about carbon monoxide poisoning,self_harm
I want to cut my wrists until I bleed out,self_harm
I'm going to overdose on everything in the medicine cabinet,self_harm
I can't live with this shame anymore,self_harm
I want to throw myself off a bridge,self_harm
any tips to manage anxiety :),coping_advice
i'm tired of living,self_harm
there's no point in living!,self_harm
how can i calm down when i'm upset? :),coping_advice
what does OCD stand for??,definition_request
i want to die,self_harm
how to handle panic attacks :(,coping_advice
tips for staying motivated :P,coping_advice
gfhdjk??...,other
good evening?...,greeting
i'm tired of living?,self_harm
hi?? :),greeting
how to improve self confidence!...,coping_advice
oops? :),other
oops? :(,other
gfhdjk!...,other
long time no talk :),small_talk
oops!! :(,other
i want to die!,self_harm
how was your day??,small_talk
advice for coping with depression....,coping_advice
how was your day?? :(,small_talk
what is bipolar disorder??,definition_request
how do i deal with stress :),coping_advice
hope you're doing well!! :(,small_talk
what's new? :P,small_talk
hey there. :P,greeting
????? :),other
blah blah. :P,other
maybe later?...,other
what is anxiety?? :P,definition_request
hi. :),greeting
tips for staying motivated! :(,coping_advice
what is anxiety :(,definition_request
define stress for me?? :(,definition_request
just chilling! :P,small_talk
i can't go on anymore.,self_harm
help me deal with insomnia??,coping_advice
random text :),other
hey there.,greeting
what's up....,small_talk
hello.,greeting
how's it going! :(,small_talk
??? :),other
how's it going,small_talk
how was your day? :),small_talk
gfhdjk! :),other
ways to relax after a tough day?,coping_advice
what does OCD stand for? :),definition_request
i dunno....,other
tips for staying motivated...,coping_advice
idk what to say?? :),other
how are you doing today?? :),small_talk
what should i do when i feel overwhelmed. :),coping_advice
good afternoon?? :),greeting
good evening!...,greeting
how do i deal with stress :P,coping_advice
hiya!.,greeting
how's it going?,small_talk
i'm so worthless i want to die,self_harm
what's new!! :(,small_talk
good morning,greeting
ways to relax after a tough day! :P,coping_advice
how are you doing today. :P,small_talk
how do i deal with stress...,coping_advice
i should just kill myself!,self_harm
gfhdjk??,other
hey there :P,greeting
tips for staying motivated. :P,coping_advice
hiya!!! :P,greeting
define self esteem??,definition_request
ways to relax after a tough day? :P,coping_advice
i can't go on anymore?,self_harm
how's it going?? :(,small_talk
any plans for today!!...,small_talk
tips for staying motivated??...,coping_advice
good afternoon....,greeting
any tips to manage anxiety. :P,coping_advice
how's it going.,small_talk
i wish i wasn't here?,self_harm
hiya!! :(,greeting
just chilling? :),small_talk
good morning :(,greeting
how's it going?? :P,small_talk
tips for staying motivated!! :(,coping_advice
i want to hurt myself!!,self_harm
i want to end it all,self_harm
what's up? :P,small_talk
define self esteem :P,definition_request
what do you mean by mindfulness! :(,definition_request
how's it going. :),small_talk
i feel like a burden and want to die?,self_harm
define stress for me??,definition_request
i'm so worthless i want to die!,self_harm
hi?...,greeting
hey there! :(,greeting
i should just kill myself!!,self_harm
i want to die?,self_harm
what is anxiety??...,definition_request
123456? :P,other
hope you're doing well!,small_talk
help me deal with insomnia...,coping_advice
advice for coping with depression! :(,coping_advice
i dunno!! :),other
123456....,other
how do i deal with stress....,coping_advice
i want to end it all!!,self_harm
gfhdjk!! :P,other
there's no point in living!!,self_harm
hi!!,greeting
what is bipolar disorder?? :P,definition_request
what's new?? :),small_talk
i dunno :(,other
what should i do when i feel overwhelmed....,coping_advice
just chilling?,small_talk
gfhdjk? :(,other
define self esteem?? :(,definition_request
i feel like a burden and want to die,self_harm
nice weather we're having?,small_talk
how's it going!! :P,small_talk
how do i deal with stress. :),coping_advice
what should i do when i feel overwhelmed!! :P,coping_advice
what is therapy!!,definition_request
maybe later?? :P,other
how to improve self confidence,coping_advice
just chilling? :(,small_talk
idk what to say. :P,other
how to handle panic attacks....,coping_advice
hi :(,greeting
good evening!! :P,greeting
nice weather we're having!...,small_talk
good afternoon?? :(,greeting
good afternoon!!...,greeting
any plans for today! :P,small_talk
any plans for today?...,small_talk
maybe later?? :(,other
gfhdjk!!...,other
any plans for today :P,small_talk
how's it going? :P,small_talk
advice for coping with depression.,coping_advice
good evening? :),greeting
idk what to say?? :P,other
what exactly is burnout. :P,definition_request
blah blah. :(,other
what is anxiety.,definition_request
any plans for today!! :(,small_talk
hiya,greeting
random text!...,other
what should i do when i feel overwhelmed :),coping_advice
tips for staying motivated!!,coping_advice
what should i do when i feel overwhelmed?,coping_advice
blah blah!! :P,other
there's no point in living,self_harm
how's it going? :(,small_talk
how are you doing today! :),small_talk
any plans for today!...,small_talk
define self esteem!! :P,definition_request
what is bipolar disorder :(,definition_request
good afternoon. :),greeting
gfhdjk.,other
what do you mean by mindfulness...,definition_request
what does OCD stand for!!...,definition_request
how are you doing today!!...,small_talk
how was your day :(,small_talk
i feel like a burden and want to die.,self_harm
explain PTSD. :(,definition_request
i'm tired of living??,self_harm
what exactly is burnout.,definition_request
how can i calm down when i'm upset. :(,coping_advice
????? :P,other
explain PTSD?? :P,definition_request
what do you mean by mindfulness....,definition_request
oops :P,other
i dunno! :(,other
i should just kill myself??,self_harm
how to improve self confidence!!...,coping_advice
what's up!!,small_talk
hope you're doing well!...,small_talk
define self esteem! :),definition_request
what's new! :P,small_talk
any plans for today?? :),small_talk
how can i calm down when i'm upset!,coping_advice
yo?? :),greeting
good afternoon :P,greeting
advice for coping with depression!!...,coping_advice
i wish i wasn't here!,self_harm
what should i do when i feel overwhelmed...,coping_advice
blah blah.,other
hi :P,greeting
idk what to say!! :),other
explain PTSD?...,definition_request
i can't go on anymore,self_harm
good afternoon! :(,greeting
???.,other
i feel like a burden and want to die!!,self_harm
how to improve self confidence? :(,coping_advice
just chilling?? :),small_talk
how do i deal with stress!! :P,coping_advice
any plans for today! :(,small_talk
blah blah. :),other
there's no point in living?,self_harm
long time no talk :P,small_talk
123456,other
idk what to say!!,other
hiya!? :),greeting
tips for staying motivated! :),coping_advice
define stress for me,definition_request
how can i calm down when i'm upset?,coping_advice
can you tell me what depression means!!...,definition_request
define stress for me? :P,definition_request
any tips to manage anxiety!!,coping_advice
yo :(,greeting
hope you're doing well!!,small_talk
???!!...,other
nice weather we're having?? :(,small_talk
nice weather we're having!!...,small_talk
good evening? :P,greeting
how's it going! :P,small_talk
what should i do when i feel overwhelmed. :P,coping_advice
i want to die.,self_harm
long time no talk?? :P,small_talk
hi. :P,greeting
hey there,greeting
good evening. :),greeting
what's up. :(,small_talk
hey there?? :(,greeting
i dunno :),other
i want to die!!,self_harm
???!! :),other
what is bipolar disorder??...,definition_request
hope you're doing well?? :P,small_talk
what should i do when i feel overwhelmed? :(,coping_advice
blah blah?...,other
oops :(,other
good evening? :(,greeting
i want to end it all?,self_harm
explain PTSD,definition_request
long time no talk? :),small_talk
what do you mean by mindfulness!! :(,definition_request
???. :(,other
i'm so worthless i want to die?,self_harm
what do you mean by mindfulness?? :(,definition_request
how to handle panic attacks!!,coping_advice
define self esteem!!,definition_request
explain PTSD! :),definition_request
yo :P,greeting
idk what to say. :),other
how's it going? :),small_talk
how do i deal with stress!!...,coping_advice
hey!!,greeting
how was your day. :),small_talk
ways to relax after a tough day! :),coping_advice
good afternoon. :(,greeting
i want to end it all!,self_harm
how to handle panic attacks!! :P,coping_advice
how are you doing today.,small_talk
long time no talk? :P,small_talk
i wish i wasn't here,self_harm
what is therapy!,definition_request
how was your day! :P,small_talk
i dunno!...,other
random text?,other
how to handle panic attacks. :(,coping_advice
what is bipolar disorder?...,definition_request
define stress for me?? :P,definition_request
oops!! :P,other
can you tell me what depression means :(,definition_request
hiya!,greeting
hello! :(,greeting
any tips to manage anxiety? :P,coping_advice
what exactly is burnout! :),definition_request
explain PTSD. :),definition_request
i'm tired of living!!,self_harm
maybe later....,other
define self esteem,definition_request
how do i deal with stress?,coping_advice
random text? :),other
how can i calm down when i'm upset,coping_advice
help me deal with insomnia??...,coping_advice
i want to hurt myself?,self_harm
what exactly is burnout?,definition_request
define stress for me. :P,definition_request
any plans for today!! :),small_talk
can you tell me what depression means!! :(,definition_request
i should just kill myself?,self_harm
hope you're doing well. :(,small_talk
hey! :P,greeting
good afternoon :(,greeting
long time no talk. :),small_talk
